latitude,longitude,irradiance
-40.0,-50.0,4.2823076923076915
-40.0,-48.0,4.244384615384615
-40.0,-46.0,4.200076923076923
-40.0,-44.0,4.143615384615385
-40.0,-42.0,4.08
-40.0,-40.0,4.000846153846154
-40.0,-38.0,4.001307692307693
-40.0,-36.0,4.005615384615385
-40.0,-34.0,3.9181538461538463
-40.0,-32.0,3.893615384615385
-40.0,-30.0,3.8943846153846153
-38.0,-58.0,4.621769230769231
-38.0,-56.0,4.663923076923077
-38.0,-54.0,4.564923076923077
-38.0,-52.0,4.459615384615384
-38.0,-50.0,4.456538461538461
-38.0,-48.0,4.397615384615385
-38.0,-46.0,4.331153846153847
-38.0,-44.0,4.267153846153846
-38.0,-42.0,4.222307692307693
-38.0,-40.0,4.188846153846153
-38.0,-38.0,4.194999999999999
-38.0,-36.0,4.156461538461538
-38.0,-34.0,4.112615384615386
-38.0,-32.0,4.100692307692307
-38.0,-30.0,4.079076923076923
-36.0,-58.0,4.692384615384615
-36.0,-56.0,4.727692307692308
-36.0,-54.0,4.709615384615384
-36.0,-52.0,4.542000000000001
-36.0,-50.0,4.566615384615385
-36.0,-48.0,4.518461538461538
-36.0,-46.0,4.470230769230769
-36.0,-44.0,4.413307692307693
-36.0,-42.0,4.361307692307692
-36.0,-40.0,4.325
-36.0,-38.0,4.315384615384615
-36.0,-36.0,4.3003846153846155
-36.0,-34.0,4.270999999999999
-36.0,-32.0,4.259461538461538
-36.0,-30.0,4.232538461538462
-34.0,-58.0,4.829692307692308
-34.0,-56.0,4.846230769230769
-34.0,-54.0,4.607230769230769
-34.0,-52.0,4.719692307692307
-34.0,-50.0,4.576230769230769
-34.0,-48.0,4.585615384615385
-34.0,-46.0,4.5282307692307695
-34.0,-44.0,4.503076923076923
-34.0,-42.0,4.456692307692308
-34.0,-40.0,4.420307692307692
-34.0,-38.0,4.430461538461539
-34.0,-36.0,4.407076923076923
-34.0,-34.0,4.387846153846154
-34.0,-32.0,4.373846153846154
-34.0,-30.0,4.362461538461539
-32.0,-58.0,4.8787692307692305
-32.0,-56.0,4.733307692307694
-32.0,-54.0,4.62
-32.0,-52.0,4.594538461538462
-32.0,-50.0,4.638999999999999
-32.0,-48.0,4.618692307692308
-32.0,-46.0,4.620461538461538
-32.0,-44.0,4.593692307692308
-32.0,-42.0,4.562692307692307
-32.0,-40.0,4.531692307692307
-32.0,-38.0,4.547461538461539
-32.0,-36.0,4.566076923076922
-32.0,-34.0,4.556538461538461
-32.0,-32.0,4.547846153846154
-32.0,-30.0,4.553307692307692
-30.0,-58.0,4.889538461538461
-30.0,-56.0,4.8296153846153835
-30.0,-54.0,4.697923076923077
-30.0,-52.0,4.528461538461538
-30.0,-50.0,4.545461538461539
-30.0,-48.0,4.655
-30.0,-46.0,4.704
-30.0,-44.0,4.721076923076923
-30.0,-42.0,4.698230769230769
-30.0,-40.0,4.673076923076923
-30.0,-38.0,4.698307692307692
-30.0,-36.0,4.729692307692308
-30.0,-34.0,4.7633846153846156
-30.0,-32.0,4.777461538461539
-30.0,-30.0,4.816076923076924
-28.0,-58.0,4.897846153846154
-28.0,-56.0,4.811076923076922
-28.0,-54.0,4.7841538461538455
-28.0,-52.0,4.6973076923076915
-28.0,-50.0,4.211615384615385
-28.0,-48.0,4.620769230769231
-28.0,-46.0,4.799076923076924
-28.0,-44.0,4.866846153846154
-28.0,-42.0,4.865692307692307
-28.0,-40.0,4.855846153846154
-28.0,-38.0,4.910461538461537
-28.0,-36.0,4.931769230769231
-28.0,-34.0,4.953153846153846
-28.0,-32.0,5.0113076923076925
-28.0,-30.0,5.077307692307693
-26.0,-58.0,4.972153846153846
-26.0,-56.0,4.906461538461539
-26.0,-54.0,4.856923076923077
-26.0,-52.0,4.641923076923077
-26.0,-50.0,4.357923076923076
-26.0,-48.0,4.523769230769231
-26.0,-46.0,4.9192307692307695
-26.0,-44.0,5.011153846153847
-26.0,-42.0,5.0409999999999995
-26.0,-40.0,5.045076923076924
-26.0,-38.0,5.070461538461538
-26.0,-36.0,5.109461538461539
-26.0,-34.0,5.1753846153846155
-26.0,-32.0,5.2546923076923076
-26.0,-30.0,5.317384615384615
-24.0,-58.0,5.013692307692308
-24.0,-56.0,4.972307692307692
-24.0,-54.0,5.036846153846153
-24.0,-52.0,5.018461538461539
-24.0,-50.0,5.018153846153846
-24.0,-48.0,4.934846153846155
-24.0,-46.0,4.659923076923077
-24.0,-44.0,5.080153846153845
-24.0,-42.0,5.2544615384615385
-24.0,-40.0,5.265692307692308
-24.0,-38.0,5.273692307692307
-24.0,-36.0,5.354538461538462
-24.0,-34.0,5.434153846153847
-24.0,-32.0,5.486307692307692
-24.0,-30.0,5.556692307692309
-22.0,-58.0,5.104153846153846
-22.0,-56.0,5.0983846153846155
-22.0,-54.0,5.198307692307693
-22.0,-52.0,5.331076923076923
-22.0,-50.0,5.349846153846154
-22.0,-48.0,5.296692307692308
-22.0,-46.0,5.19476923076923
-22.0,-44.0,4.753384615384616
-22.0,-42.0,5.033307692307693
-22.0,-40.0,5.366846153846154
-22.0,-38.0,5.472769230769231
-22.0,-36.0,5.596615384615384
-22.0,-34.0,5.661307692307693
-22.0,-32.0,5.726615384615385
-22.0,-30.0,5.761846153846154
-20.0,-58.0,5.114230769230769
-20.0,-56.0,5.246384615384615
-20.0,-54.0,5.348076923076923
-20.0,-52.0,5.456692307692307
-20.0,-50.0,5.500076923076923
-20.0,-48.0,5.3616153846153844
-20.0,-46.0,5.400769230769231
-20.0,-44.0,5.135000000000001
-20.0,-42.0,4.977
-20.0,-40.0,5.289384615384616
-20.0,-38.0,5.654692307692307
-20.0,-36.0,5.781153846153845
-20.0,-34.0,5.859615384615385
-20.0,-32.0,5.9166923076923075
-20.0,-30.0,5.986076923076923
-18.0,-60.0,5.131769230769231
-18.0,-58.0,5.214769230769232
-18.0,-56.0,5.346153846153846
-18.0,-54.0,5.3029230769230775
-18.0,-52.0,5.442
-18.0,-50.0,5.609153846153847
-18.0,-48.0,5.552076923076923
-18.0,-46.0,5.635153846153846
-18.0,-44.0,5.396923076923076
-18.0,-42.0,5.046615384615384
-18.0,-40.0,5.177769230769231
-18.0,-38.0,5.820384615384615
-18.0,-36.0,5.949923076923077
-18.0,-34.0,6.040923076923077
-18.0,-32.0,6.097692307692308
-18.0,-30.0,6.1564615384615395
-16.0,-60.0,5.197230769230769
-16.0,-58.0,5.260076923076923
-16.0,-56.0,5.253
-16.0,-54.0,5.410769230769231
-16.0,-52.0,5.624076923076923
-16.0,-50.0,5.612846153846155
-16.0,-48.0,5.642461538461538
-16.0,-46.0,5.790538461538461
-16.0,-44.0,5.930153846153846
-16.0,-42.0,5.432769230769231
-16.0,-40.0,5.229846153846154
-16.0,-38.0,5.949923076923077
-16.0,-36.0,6.09276923076923
-16.0,-34.0,6.197846153846154
-16.0,-32.0,6.243538461538463
-16.0,-30.0,6.271384615384616
-14.0,-60.0,5.039307692307691
-14.0,-58.0,5.315846153846153
-14.0,-56.0,5.453153846153846
-14.0,-54.0,5.505923076923077
-14.0,-52.0,5.6139230769230775
-14.0,-50.0,5.660692307692307
-14.0,-48.0,5.651769230769231
-14.0,-46.0,5.818076923076923
-14.0,-44.0,6.115230769230769
-14.0,-42.0,5.6150769230769235
-14.0,-40.0,5.2361538461538455
-14.0,-38.0,6.010384615384615
-14.0,-36.0,6.198384615384615
-14.0,-34.0,6.299230769230769
-14.0,-32.0,6.346692307692307
-14.0,-30.0,6.363076923076924
-12.0,-60.0,5.127
-12.0,-58.0,5.272615384615385
-12.0,-56.0,5.4265384615384615
-12.0,-54.0,5.561923076923078
-12.0,-52.0,5.539076923076923
-12.0,-50.0,5.5936153846153855
-12.0,-48.0,5.677769230769232
-12.0,-46.0,5.971538461538462
-12.0,-44.0,6.158076923076923
-12.0,-42.0,5.892
-12.0,-40.0,5.488846153846153
-12.0,-38.0,5.866923076923078
-12.0,-36.0,6.240461538461538
-12.0,-34.0,6.314461538461539
-12.0,-32.0,6.3849230769230765
-12.0,-30.0,6.3846923076923074
-10.0,-60.0,5.031692307692308
-10.0,-58.0,5.131153846153846
-10.0,-56.0,5.099538461538462
-10.0,-54.0,5.438461538461538
-10.0,-52.0,5.354846153846154
-10.0,-50.0,5.458153846153846
-10.0,-48.0,5.622230769230769
-10.0,-46.0,5.856538461538461
-10.0,-44.0,5.986846153846154
-10.0,-42.0,6.150692307692308
-10.0,-40.0,5.794307692307692
-10.0,-38.0,5.868076923076924
-10.0,-36.0,5.975923076923076
-10.0,-34.0,6.2846153846153845
-10.0,-32.0,6.346769230769231
-10.0,-30.0,6.363846153846153
-8.0,-60.0,4.868384615384615
-8.0,-58.0,4.953538461538462
-8.0,-56.0,5.084538461538462
-8.0,-54.0,5.204538461538461
-8.0,-52.0,5.180461538461539
-8.0,-50.0,5.3072307692307685
-8.0,-48.0,5.413153846153847
-8.0,-46.0,5.628230769230769
-8.0,-44.0,5.812461538461538
-8.0,-42.0,5.936846153846154
-8.0,-40.0,5.867999999999999
-8.0,-38.0,6.121615384615384
-8.0,-36.0,5.4953076923076924
-8.0,-34.0,6.209769230769231
-8.0,-32.0,6.310153846153845
-8.0,-30.0,6.311153846153847
-6.0,-60.0,4.799769230769231
-6.0,-58.0,4.874846153846154
-6.0,-56.0,4.974461538461539
-6.0,-54.0,5.040923076923076
-6.0,-52.0,5.035846153846155
-6.0,-50.0,5.076692307692308
-6.0,-48.0,5.28723076923077
-6.0,-46.0,5.330615384615385
-6.0,-44.0,5.6683076923076925
-6.0,-42.0,5.831692307692307
-6.0,-40.0,5.799846153846154
-6.0,-38.0,6.11776923076923
-6.0,-36.0,5.747461538461539
-6.0,-34.0,6.130923076923077
-6.0,-32.0,6.174846153846154
-6.0,-30.0,6.217076923076923
-4.0,-60.0,4.685538461538461
-4.0,-58.0,4.786538461538462
-4.0,-56.0,4.975846153846153
-4.0,-54.0,4.927076923076923
-4.0,-52.0,4.960307692307692
-4.0,-50.0,5.167000000000001
-4.0,-48.0,5.210307692307691
-4.0,-46.0,5.259153846153846
-4.0,-44.0,5.5885384615384615
-4.0,-42.0,5.751153846153847
