latitude,longitude,interpolated_irradiance
-58.38383838383838,-39.696969696969695,2.1659741418395977
-58.38383838383838,-39.090909090909086,2.1650142812236615
-58.38383838383838,-38.484848484848484,2.1594782243973456
-58.38383838383838,-37.878787878787875,2.1582658394724556
-58.38383838383838,-37.27272727272727,2.1653384218572302
-58.38383838383838,-36.666666666666664,2.1787507444057024
-58.38383838383838,-36.06060606060606,2.195276175456045
-58.38383838383838,-35.45454545454545,2.2151136222665757
-58.38383838383838,-34.848484848484844,2.2326931026139722
-58.38383838383838,-34.24242424242424,2.2479719480952554
-58.38383838383838,-33.63636363636363,2.2636690225691796
-58.38383838383838,-33.03030303030303,2.2833854846821366
-58.38383838383838,-32.42424242424242,2.296557886037014
-58.38383838383838,-31.818181818181813,2.303306260209881
-58.38383838383838,-31.21212121212121,2.311357798897503
-58.38383838383838,-30.606060606060602,2.319589331800963
-58.38383838383838,-30.0,2.3286170895358453
-57.57575757575758,-90.0,2.4182717876818973
-57.57575757575758,-89.39393939393939,2.423636670081734
-57.57575757575758,-88.78787878787878,2.4291473183754455
-57.57575757575758,-88.18181818181819,2.4340160323922317
-57.57575757575758,-87.57575757575758,2.4371583833729096
-57.57575757575758,-86.96969696969697,2.4382822563843183
-57.57575757575758,-86.36363636363636,2.4385682697814217
-57.57575757575758,-85.75757575757575,2.439121165642953
-57.57575757575758,-85.15151515151516,2.4405166312545954
-57.57575757575758,-84.54545454545455,2.4424654301509237
-57.57575757575758,-83.93939393939394,2.444011277206426
-57.57575757575758,-83.33333333333333,2.4446924095797966
-57.57575757575758,-82.72727272727272,2.4452196176243506
-57.57575757575758,-82.12121212121212,2.446364381424032
-57.57575757575758,-81.51515151515152,2.4492328318290206
-57.57575757575758,-80.9090909090909,2.454150442507598
-57.57575757575758,-80.3030303030303,2.459162772140139
-57.57575757575758,-79.6969696969697,2.46253637019361
-57.57575757575758,-79.0909090909091,2.4630328345439523
-57.57575757575758,-78.48484848484848,2.4599121785136333
-57.57575757575758,-77.87878787878788,2.450663434748289
-57.57575757575758,-77.27272727272727,2.4338325557747202
